asset,strategy_family,applicable,state,reason,required_evidence
GER40,CARRY_VALUE,True,DATA_GATED,FUTURES_BASIS+RATES+DIVIDENDS,FUTURES_BASIS+RATES+DIVIDENDS
GER40,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
GER40,EVENT_RESPONSE,True,DATA_GATED,MACRO+EARNINGS+RATES_EVENT_FEED,MACRO+EARNINGS+RATES_EVENT_FEED
GER40,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
UK100,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
UK100,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
UK100,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
UK100,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
UK100,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
UK100,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
UK100,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
UK100,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
UK100,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
UK100,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
UK100,INTERMARKET,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
UK100,CARRY_VALUE,True,DATA_GATED,FUTURES_BASIS+RATES+DIVIDENDS,FUTURES_BASIS+RATES+DIVIDENDS
UK100,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
UK100,EVENT_RESPONSE,True,DATA_GATED,MACRO+EARNINGS+RATES_EVENT_FEED,MACRO+EARNINGS+RATES_EVENT_FEED
UK100,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
JP225,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
JP225,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
JP225,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
JP225,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
JP225,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
JP225,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
JP225,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
JP225,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
JP225,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
JP225,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
JP225,INTERMARKET,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
JP225,CARRY_VALUE,True,DATA_GATED,FUTURES_BASIS+RATES+DIVIDENDS,FUTURES_BASIS+RATES+DIVIDENDS
JP225,CRYPTO_FUNDING_BASIS,False,NON_NATIVE_FAMILY_GATED,ASSET_CLASS_NOT_NATIVE_FOR_FAMILY,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
JP225,EVENT_RESPONSE,True,DATA_GATED,MACRO+EARNINGS+RATES_EVENT_FEED,MACRO+EARNINGS+RATES_EVENT_FEED
JP225,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
WTI,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
WTI,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
WTI,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
WTI,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
WTI,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
WTI,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
WTI,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
